review_id,product_category,product_name,user_id,review_title,review_text,rating,verified_purchase,helpful_votes,sentiment
32,Books,Fiction Novel,U5585,Terrible,"The Fiction Novel works okay, but could be better.",2,Yes,23,Negative
33,Home & Kitchen,Coffee Maker,U5629,Loved it,The Coffee Maker stopped working after a week.,2,Yes,18,Negative
34,Fashion,Jeans,U9069,Terrible,Really disappointed with the Jeans.,3,No,17,Neutral
35,Electronics,Bluetooth Speaker,U7802,Terrible,"Not worth the money, poor quality Bluetooth Speaker.",4,Yes,40,Positive
36,Beauty,Hair Dryer,U8708,Great!,"The Hair Dryer is amazing, I love it!",4,No,14,Positive
37,Fashion,T-shirt,U5419,Terrible,Exceeded my expectations! Great T-shirt.,1,Yes,10,Negative
38,Beauty,Perfume,U9396,Okay,"The Perfume works okay, but could be better.",1,No,2,Negative
39,Electronics,Smartphone,U5638,Loved it,"Not worth the money, poor quality Smartphone.",2,No,41,Negative
40,Home & Kitchen,Vacuum Cleaner,U2166,Not good,Really disappointed with the Vacuum Cleaner.,2,Yes,13,Negative
41,Books,Self-help Book,U3691,Terrible,Decent Self-help Book for the price point.,2,No,26,Negative
42,Beauty,Hair Dryer,U8488,Loved it,Exceeded my expectations! Great Hair Dryer.,4,No,39,Positive
43,Books,Cookbook,U3218,Terrible,Exceeded my expectations! Great Cookbook.,2,No,14,Negative
44,Home & Kitchen,Microwave Oven,U7211,Great!,Exceeded my expectations! Great Microwave Oven.,2,Yes,18,Negative
45,Home & Kitchen,Blender,U4960,Great!,Exceeded my expectations! Great Blender.,5,Yes,24,Positive
46,Beauty,Shampoo,U2804,Great!,Decent Shampoo for the price point.,2,No,36,Negative
47,Fashion,Sneakers,U6810,Great!,Really disappointed with the Sneakers.,3,No,5,Neutral
48,Books,Cookbook,U1929,Not good,Decent Cookbook for the price point.,4,Yes,28,Positive
49,Fashion,Handbag,U6395,Terrible,"The Handbag is amazing, I love it!",1,No,29,Negative
50,Home & Kitchen,Coffee Maker,U7349,Great!,"The Coffee Maker works okay, but could be better.",2,Yes,11,Negative
51,Home & Kitchen,Air Fryer,U2009,Not good,Decent Air Fryer for the price point.,3,No,36,Neutral
52,Books,Self-help Book,U9922,Terrible,The Self-help Book stopped working after a week.,5,No,28,Positive
53,Home & Kitchen,Vacuum Cleaner,U5625,Loved it,Decent Vacuum Cleaner for the price point.,1,Yes,28,Negative
54,Home & Kitchen,Coffee Maker,U3346,Okay,Exceeded my expectations! Great Coffee Maker.,2,Yes,12,Negative
55,Electronics,Smartphone,U4448,Okay,"The Smartphone is amazing, I love it!",4,Yes,30,Positive
56,Beauty,Perfume,U9291,Not good,Exceeded my expectations! Great Perfume.,1,No,31,Negative
57,Electronics,Smartphone,U8373,Great!,"The Smartphone works okay, but could be better.",5,No,31,Positive
58,Electronics,Smartphone,U3432,Okay,Decent Smartphone for the price point.,2,No,35,Negative
59,Books,Children's Story,U5298,Great!,Decent Children's Story for the price point.,2,Yes,14,Negative
60,Home & Kitchen,Coffee Maker,U5515,Not good,I use this Coffee Maker every day and it’s fantastic.,1,No,15,Negative
61,Beauty,Lipstick,U2044,Okay,"Not worth the money, poor quality Lipstick.",2,No,18,Negative
62,Home & Kitchen,Microwave Oven,U3069,Great!,Exceeded my expectations! Great Microwave Oven.,4,Yes,35,Positive
63,Books,Self-help Book,U3966,Not good,"The Self-help Book is amazing, I love it!",5,No,30,Positive
64,Home & Kitchen,Microwave Oven,U5319,Not good,"The Microwave Oven is amazing, I love it!",1,No,42,Negative
65,Beauty,Lipstick,U6024,Loved it,"The Lipstick works okay, but could be better.",1,No,37,Negative
66,Fashion,T-shirt,U2476,Great!,"The T-shirt is amazing, I love it!",2,Yes,1,Negative
67,Books,Self-help Book,U6826,Loved it,Really disappointed with the Self-help Book.,2,No,31,Negative
68,Books,Children's Story,U7165,Great!,Decent Children's Story for the price point.,5,No,47,Positive
69,Books,Biography,U8060,Okay,The Biography stopped working after a week.,5,No,39,Positive
70,Beauty,Hair Dryer,U9084,Terrible,"The Hair Dryer is amazing, I love it!",5,No,7,Positive
71,Electronics,Laptop,U4421,Great!,The Laptop stopped working after a week.,1,No,34,Negative
72,Electronics,Wireless Headphones,U7228,Terrible,"The Wireless Headphones is amazing, I love it!",2,Yes,8,Negative
73,Electronics,Smartwatch,U2103,Not good,I use this Smartwatch every day and it’s fantastic.,1,No,15,Negative
74,Books,Children's Story,U4246,Great!,The Children's Story stopped working after a week.,5,No,16,Positive
75,Fashion,T-shirt,U5974,Okay,Exceeded my expectations! Great T-shirt.,3,No,25,Neutral
76,Fashion,Jacket,U9583,Not good,"Not worth the money, poor quality Jacket.",4,Yes,6,Positive
77,Electronics,Smartphone,U8856,Terrible,Exceeded my expectations! Great Smartphone.,5,No,47,Positive
78,Fashion,Jeans,U5022,Loved it,The Jeans stopped working after a week.,2,Yes,4,Negative
79,Fashion,Jacket,U2374,Okay,"Not worth the money, poor quality Jacket.",3,Yes,36,Neutral
80,Fashion,T-shirt,U9460,Okay,I use this T-shirt every day and it’s fantastic.,2,Yes,37,Negative
81,Home & Kitchen,Blender,U7849,Not good,Really disappointed with the Blender.,5,No,14,Positive
82,Beauty,Hair Dryer,U8410,Great!,Really disappointed with the Hair Dryer.,3,Yes,7,Neutral
83,Electronics,Laptop,U7468,Great!,Really disappointed with the Laptop.,5,Yes,1,Positive
84,Beauty,Lipstick,U5733,Not good,"The Lipstick is amazing, I love it!",1,Yes,6,Negative
85,Fashion,Sneakers,U2734,Terrible,"The Sneakers works okay, but could be better.",3,Yes,42,Neutral
86,Books,Fiction Novel,U4723,Okay,"The Fiction Novel is amazing, I love it!",1,Yes,14,Negative
87,Electronics,Smartphone,U2084,Loved it,"The Smartphone works okay, but could be better.",4,Yes,38,Positive
88,Books,Cookbook,U9031,Not good,Really disappointed with the Cookbook.,5,No,40,Positive
89,Books,Biography,U6005,Loved it,"The Biography is amazing, I love it!",3,No,28,Neutral
90,Books,Children's Story,U4436,Terrible,"The Children's Story is amazing, I love it!",3,Yes,20,Neutral
91,Electronics,Bluetooth Speaker,U3934,Great!,I use this Bluetooth Speaker every day and it’s fantastic.,4,No,7,Positive
92,Electronics,Laptop,U4069,Terrible,"The Laptop works okay, but could be better.",3,No,0,Neutral
93,Beauty,Lipstick,U1677,Not good,Exceeded my expectations! Great Lipstick.,5,Yes,19,Positive
94,Books,Self-help Book,U2052,Terrible,Exceeded my expectations! Great Self-help Book.,4,Yes,17,Positive
95,Books,Biography,U1161,Okay,Decent Biography for the price point.,2,Yes,39,Negative
96,Home & Kitchen,Blender,U5205,Loved it,The Blender stopped working after a week.,2,No,47,Negative
97,Books,Self-help Book,U7158,Not good,"The Self-help Book works okay, but could be better.",4,Yes,23,Positive
98,Electronics,Smartphone,U6153,Loved it,Exceeded my expectations! Great Smartphone.,1,Yes,32,Negative
99,Home & Kitchen,Microwave Oven,U9254,Not good,Exceeded my expectations! Great Microwave Oven.,3,No,4,Neutral
100,Beauty,Shampoo,U4637,Great!,Decent Shampoo for the price point.,4,No,43,Positive
101,Fashion,Jeans,U5957,Not good,I use this Jeans every day and it’s fantastic.,5,Yes,11,Positive
102,Beauty,Lipstick,U7547,Terrible,I use this Lipstick every day and it’s fantastic.,4,No,33,Positive
103,Home & Kitchen,Blender,U8029,Not good,Really disappointed with the Blender.,5,Yes,23,Positive
104,Fashion,Jacket,U9444,Great!,The Jacket stopped working after a week.,5,Yes,4,Positive
105,Fashion,Handbag,U3747,Loved it,"Not worth the money, poor quality Handbag.",5,No,0,Positive
106,Fashion,T-shirt,U3533,Okay,"The T-shirt is amazing, I love it!",1,No,25,Negative
107,Books,Cookbook,U7081,Great!,I use this Cookbook every day and it’s fantastic.,3,No,48,Neutral
108,Electronics,Wireless Headphones,U4295,Loved it,Decent Wireless Headphones for the price point.,5,No,30,Positive
109,Beauty,Hair Dryer,U1867,Great!,The Hair Dryer stopped working after a week.,2,No,18,Negative
110,Electronics,Laptop,U8082,Loved it,The Laptop stopped working after a week.,5,No,41,Positive
111,Books,Cookbook,U4814,Terrible,Decent Cookbook for the price point.,4,No,39,Positive
112,Beauty,Face Cream,U2467,Loved it,I use this Face Cream every day and it’s fantastic.,2,Yes,9,Negative
113,Beauty,Face Cream,U2605,Great!,Decent Face Cream for the price point.,4,No,21,Positive
114,Beauty,Shampoo,U7082,Not good,I use this Shampoo every day and it’s fantastic.,2,No,40,Negative
115,Books,Biography,U1855,Terrible,I use this Biography every day and it’s fantastic.,1,Yes,3,Negative
116,Beauty,Lipstick,U4425,Not good,"The Lipstick is amazing, I love it!",1,No,12,Negative
117,Books,Fiction Novel,U2156,Loved it,The Fiction Novel stopped working after a week.,4,No,49,Positive
118,Home & Kitchen,Vacuum Cleaner,U1390,Not good,"The Vacuum Cleaner is amazing, I love it!",5,Yes,10,Positive
119,Beauty,Perfume,U2498,Terrible,"Not worth the money, poor quality Perfume.",2,No,0,Negative
120,Home & Kitchen,Air Fryer,U8833,Not good,Decent Air Fryer for the price point.,1,Yes,42,Negative
121,Home & Kitchen,Air Fryer,U5744,Loved it,Decent Air Fryer for the price point.,3,Yes,42,Neutral
122,Books,Fiction Novel,U7868,Great!,"The Fiction Novel works okay, but could be better.",3,Yes,43,Neutral
123,Beauty,Lipstick,U7388,Loved it,"The Lipstick works okay, but could be better.",4,Yes,35,Positive
124,Fashion,Jacket,U8712,Great!,"Not worth the money, poor quality Jacket.",5,No,4,Positive
125,Fashion,Handbag,U2161,Terrible,The Handbag stopped working after a week.,1,Yes,30,Negative
126,Beauty,Hair Dryer,U7474,Great!,Really disappointed with the Hair Dryer.,5,Yes,16,Positive
127,Books,Self-help Book,U4041,Not good,Exceeded my expectations! Great Self-help Book.,2,Yes,45,Negative
128,Books,Fiction Novel,U9148,Not good,"Not worth the money, poor quality Fiction Novel.",4,Yes,46,Positive
129,Home & Kitchen,Microwave Oven,U3109,Great!,"Not worth the money, poor quality Microwave Oven.",3,No,14,Neutral
130,Home & Kitchen,Vacuum Cleaner,U5277,Loved it,Decent Vacuum Cleaner for the price point.,5,Yes,6,Positive
131,Beauty,Lipstick,U9236,Not good,Decent Lipstick for the price point.,5,No,13,Positive
132,Fashion,Sneakers,U2737,Okay,Exceeded my expectations! Great Sneakers.,4,Yes,47,Positive
133,Books,Children's Story,U1632,Terrible,"Not worth the money, poor quality Children's Story.",1,Yes,36,Negative
134,Books,Self-help Book,U2193,Great!,"The Self-help Book is amazing, I love it!",3,No,5,Neutral
135,Fashion,T-shirt,U2633,Terrible,The T-shirt stopped working after a week.,5,No,22,Positive
136,Beauty,Lipstick,U8373,Okay,"Not worth the money, poor quality Lipstick.",2,No,35,Negative
137,Home & Kitchen,Air Fryer,U2676,Okay,Exceeded my expectations! Great Air Fryer.,5,No,49,Positive
138,Books,Fiction Novel,U8914,Okay,The Fiction Novel stopped working after a week.,1,Yes,46,Negative
139,Beauty,Shampoo,U3724,Terrible,Decent Shampoo for the price point.,2,No,8,Negative
140,Electronics,Smartphone,U4180,Loved it,"The Smartphone is amazing, I love it!",2,Yes,17,Negative
141,Electronics,Wireless Headphones,U9759,Okay,"The Wireless Headphones works okay, but could be better.",1,No,47,Negative
142,Fashion,Handbag,U4181,Great!,"The Handbag works okay, but could be better.",4,Yes,26,Positive
143,Books,Children's Story,U4041,Not good,"The Children's Story is amazing, I love it!",1,Yes,29,Negative
144,Books,Self-help Book,U8808,Great!,Exceeded my expectations! Great Self-help Book.,1,No,11,Negative
145,Books,Fiction Novel,U9224,Great!,Decent Fiction Novel for the price point.,4,Yes,39,Positive
146,Beauty,Lipstick,U2472,Great!,I use this Lipstick every day and it’s fantastic.,5,Yes,2,Positive
147,Books,Cookbook,U6358,Terrible,I use this Cookbook every day and it’s fantastic.,3,No,6,Neutral
148,Books,Biography,U5965,Great!,"The Biography is amazing, I love it!",5,No,33,Positive
149,Beauty,Hair Dryer,U2976,Not good,Really disappointed with the Hair Dryer.,2,No,2,Negative
150,Fashion,T-shirt,U1880,Great!,"Not worth the money, poor quality T-shirt.",2,Yes,20,Negative
151,Beauty,Lipstick,U6138,Okay,"The Lipstick works okay, but could be better.",4,Yes,21,Positive
152,Electronics,Bluetooth Speaker,U7521,Loved it,Really disappointed with the Bluetooth Speaker.,1,Yes,43,Negative
153,Beauty,Face Cream,U1758,Terrible,Exceeded my expectations! Great Face Cream.,2,Yes,24,Negative
154,Home & Kitchen,Coffee Maker,U1278,Great!,Decent Coffee Maker for the price point.,1,Yes,31,Negative
155,Beauty,Perfume,U5400,Loved it,"The Perfume is amazing, I love it!",4,No,17,Positive
156,Electronics,Bluetooth Speaker,U1458,Okay,I use this Bluetooth Speaker every day and it’s fantastic.,3,No,3,Neutral
157,Beauty,Face Cream,U4737,Okay,"The Face Cream works okay, but could be better.",4,Yes,18,Positive
158,Home & Kitchen,Blender,U5651,Loved it,I use this Blender every day and it’s fantastic.,4,Yes,48,Positive
159,Books,Children's Story,U7309,Not good,"The Children's Story is amazing, I love it!",3,No,0,Neutral
160,Beauty,Shampoo,U1483,Great!,"Not worth the money, poor quality Shampoo.",4,No,6,Positive
161,Electronics,Bluetooth Speaker,U8726,Terrible,Decent Bluetooth Speaker for the price point.,2,No,1,Negative
162,Home & Kitchen,Coffee Maker,U1571,Not good,I use this Coffee Maker every day and it’s fantastic.,3,Yes,14,Neutral
163,Electronics,Wireless Headphones,U3434,Loved it,Exceeded my expectations! Great Wireless Headphones.,4,Yes,49,Positive
164,Beauty,Hair Dryer,U4630,Loved it,Exceeded my expectations! Great Hair Dryer.,4,Yes,48,Positive
165,Beauty,Face Cream,U5165,Not good,Decent Face Cream for the price point.,2,No,0,Negative
166,Fashion,T-shirt,U3827,Okay,"The T-shirt works okay, but could be better.",4,Yes,25,Positive
167,Home & Kitchen,Blender,U2059,Terrible,"Not worth the money, poor quality Blender.",1,Yes,23,Negative
168,Books,Cookbook,U2129,Not good,"The Cookbook works okay, but could be better.",3,No,25,Neutral
169,Fashion,Jeans,U2786,Terrible,Really disappointed with the Jeans.,4,Yes,39,Positive
170,Home & Kitchen,Air Fryer,U7977,Loved it,"The Air Fryer works okay, but could be better.",2,No,47,Negative
171,Books,Fiction Novel,U2771,Not good,The Fiction Novel stopped working after a week.,2,Yes,47,Negative
172,Books,Cookbook,U1735,Okay,I use this Cookbook every day and it’s fantastic.,5,No,37,Positive
173,Home & Kitchen,Air Fryer,U7205,Okay,Exceeded my expectations! Great Air Fryer.,1,Yes,21,Negative
174,Home & Kitchen,Vacuum Cleaner,U8799,Great!,Exceeded my expectations! Great Vacuum Cleaner.,4,No,24,Positive
175,Books,Children's Story,U5186,Terrible,Really disappointed with the Children's Story.,5,No,48,Positive
176,Electronics,Laptop,U1051,Great!,"The Laptop is amazing, I love it!",2,Yes,35,Negative
177,Electronics,Wireless Headphones,U9305,Okay,I use this Wireless Headphones every day and it’s fantastic.,3,No,35,Neutral
178,Books,Cookbook,U6572,Great!,"The Cookbook works okay, but could be better.",3,Yes,20,Neutral
179,Books,Cookbook,U8784,Terrible,Decent Cookbook for the price point.,5,Yes,36,Positive
180,Books,Fiction Novel,U6202,Not good,I use this Fiction Novel every day and it’s fantastic.,3,Yes,25,Neutral
181,Beauty,Lipstick,U2837,Terrible,I use this Lipstick every day and it’s fantastic.,2,Yes,6,Negative
182,Beauty,Face Cream,U2812,Loved it,I use this Face Cream every day and it’s fantastic.,1,No,26,Negative
183,Beauty,Face Cream,U8456,Great!,I use this Face Cream every day and it’s fantastic.,2,No,13,Negative
184,Beauty,Face Cream,U1764,Terrible,The Face Cream stopped working after a week.,2,No,48,Negative
185,Home & Kitchen,Air Fryer,U2660,Loved it,"Not worth the money, poor quality Air Fryer.",2,Yes,41,Negative
186,Books,Fiction Novel,U9921,Great!,"The Fiction Novel works okay, but could be better.",1,No,14,Negative
187,Home & Kitchen,Vacuum Cleaner,U7193,Not good,Decent Vacuum Cleaner for the price point.,3,No,15,Neutral
188,Beauty,Shampoo,U1991,Great!,"The Shampoo works okay, but could be better.",1,Yes,36,Negative
189,Home & Kitchen,Microwave Oven,U7210,Terrible,Exceeded my expectations! Great Microwave Oven.,5,Yes,8,Positive
190,Books,Self-help Book,U9662,Not good,Exceeded my expectations! Great Self-help Book.,1,No,31,Negative
191,Home & Kitchen,Vacuum Cleaner,U2535,Not good,Exceeded my expectations! Great Vacuum Cleaner.,2,Yes,41,Negative
192,Books,Self-help Book,U6816,Terrible,The Self-help Book stopped working after a week.,1,No,40,Negative
193,Beauty,Perfume,U6369,Okay,Decent Perfume for the price point.,1,Yes,3,Negative
194,Electronics,Bluetooth Speaker,U6908,Terrible,Really disappointed with the Bluetooth Speaker.,5,No,39,Positive
195,Books,Cookbook,U7696,Great!,I use this Cookbook every day and it’s fantastic.,1,No,38,Negative
196,Fashion,T-shirt,U6860,Not good,"The T-shirt is amazing, I love it!",5,No,30,Positive
197,Fashion,Sneakers,U4578,Loved it,Really disappointed with the Sneakers.,3,No,15,Neutral
198,Books,Children's Story,U1574,Great!,I use this Children's Story every day and it’s fantastic.,2,Yes,18,Negative
199,Electronics,Wireless Headphones,U9091,Terrible,The Wireless Headphones stopped working after a week.,2,Yes,35,Negative
200,Home & Kitchen,Coffee Maker,U8394,Not good,I use this Coffee Maker every day and it’s fantastic.,4,No,6,Positive
201,Electronics,Wireless Headphones,U4204,Loved it,Decent Wireless Headphones for the price point.,5,No,20,Positive
202,Beauty,Hair Dryer,U9112,Okay,I use this Hair Dryer every day and it’s fantastic.,4,No,21,Positive
203,Fashion,Handbag,U7706,Loved it,Really disappointed with the Handbag.,3,Yes,5,Neutral
204,Books,Self-help Book,U6649,Not good,"Not worth the money, poor quality Self-help Book.",1,No,2,Negative
205,Books,Fiction Novel,U1797,Terrible,Decent Fiction Novel for the price point.,5,Yes,17,Positive
206,Home & Kitchen,Coffee Maker,U1913,Terrible,"The Coffee Maker is amazing, I love it!",4,Yes,7,Positive
207,Fashion,Jeans,U9945,Loved it,"Not worth the money, poor quality Jeans.",2,No,31,Negative
208,Electronics,Bluetooth Speaker,U8322,Okay,Exceeded my expectations! Great Bluetooth Speaker.,4,Yes,20,Positive
209,Home & Kitchen,Air Fryer,U5332,Terrible,Really disappointed with the Air Fryer.,2,No,48,Negative
210,Fashion,Sneakers,U7468,Great!,Exceeded my expectations! Great Sneakers.,3,No,3,Neutral
211,Books,Biography,U2819,Terrible,The Biography stopped working after a week.,5,No,45,Positive
212,Electronics,Laptop,U3465,Not good,Really disappointed with the Laptop.,5,No,11,Positive
213,Fashion,T-shirt,U9976,Terrible,"The T-shirt is amazing, I love it!",4,No,26,Positive
214,Fashion,Jacket,U1116,Great!,Decent Jacket for the price point.,1,No,12,Negative
215,Beauty,Perfume,U2312,Okay,Really disappointed with the Perfume.,1,No,44,Negative
216,Fashion,Handbag,U7791,Loved it,"The Handbag is amazing, I love it!",4,No,4,Positive
217,Books,Biography,U3363,Terrible,Exceeded my expectations! Great Biography.,3,No,0,Neutral
218,Electronics,Smartwatch,U6757,Terrible,"Not worth the money, poor quality Smartwatch.",5,Yes,12,Positive
219,Electronics,Laptop,U2070,Loved it,I use this Laptop every day and it’s fantastic.,4,Yes,23,Positive
220,Fashion,Jacket,U3876,Great!,"The Jacket is amazing, I love it!",3,No,14,Neutral
221,Beauty,Face Cream,U1126,Okay,Decent Face Cream for the price point.,1,Yes,0,Negative
222,Electronics,Bluetooth Speaker,U8740,Great!,Really disappointed with the Bluetooth Speaker.,5,Yes,21,Positive
223,Home & Kitchen,Air Fryer,U5795,Okay,The Air Fryer stopped working after a week.,5,Yes,17,Positive
224,Books,Cookbook,U3724,Okay,I use this Cookbook every day and it’s fantastic.,5,No,36,Positive
225,Beauty,Hair Dryer,U8849,Okay,"The Hair Dryer works okay, but could be better.",4,Yes,35,Positive
226,Electronics,Bluetooth Speaker,U8378,Okay,"Not worth the money, poor quality Bluetooth Speaker.",1,Yes,19,Negative
227,Books,Biography,U8780,Terrible,Decent Biography for the price point.,2,No,36,Negative
228,Electronics,Bluetooth Speaker,U8051,Okay,I use this Bluetooth Speaker every day and it’s fantastic.,4,Yes,46,Positive
229,Home & Kitchen,Air Fryer,U6973,Great!,I use this Air Fryer every day and it’s fantastic.,2,No,27,Negative
230,Beauty,Lipstick,U9747,Not good,"The Lipstick works okay, but could be better.",4,No,44,Positive
231,Beauty,Hair Dryer,U8862,Loved it,"The Hair Dryer works okay, but could be better.",2,No,42,Negative
232,Home & Kitchen,Vacuum Cleaner,U7834,Terrible,"The Vacuum Cleaner works okay, but could be better.",2,No,6,Negative
233,Beauty,Shampoo,U1049,Okay,The Shampoo stopped working after a week.,3,No,23,Neutral
234,Home & Kitchen,Vacuum Cleaner,U1178,Great!,The Vacuum Cleaner stopped working after a week.,3,Yes,43,Neutral
235,Fashion,T-shirt,U8035,Terrible,Decent T-shirt for the price point.,1,Yes,16,Negative
236,Fashion,Jacket,U5845,Terrible,Exceeded my expectations! Great Jacket.,2,No,22,Negative
237,Books,Self-help Book,U3911,Okay,The Self-help Book stopped working after a week.,2,No,19,Negative
238,Beauty,Lipstick,U9419,Great!,Exceeded my expectations! Great Lipstick.,3,No,20,Neutral
239,Fashion,Jeans,U4239,Not good,Really disappointed with the Jeans.,3,No,9,Neutral
240,Books,Biography,U9913,Not good,Exceeded my expectations! Great Biography.,3,Yes,12,Neutral
241,Home & Kitchen,Blender,U1474,Great!,Exceeded my expectations! Great Blender.,5,No,10,Positive
242,Electronics,Laptop,U8605,Terrible,Really disappointed with the Laptop.,5,No,14,Positive
243,Home & Kitchen,Microwave Oven,U5345,Great!,"The Microwave Oven works okay, but could be better.",1,Yes,46,Negative
244,Fashion,Jacket,U3995,Okay,Exceeded my expectations! Great Jacket.,2,Yes,35,Negative
245,Fashion,Jeans,U4833,Terrible,I use this Jeans every day and it’s fantastic.,2,Yes,12,Negative
246,Beauty,Hair Dryer,U3215,Okay,"Not worth the money, poor quality Hair Dryer.",2,No,5,Negative
247,Books,Self-help Book,U4183,Not good,I use this Self-help Book every day and it’s fantastic.,5,No,22,Positive
248,Fashion,T-shirt,U5592,Okay,I use this T-shirt every day and it’s fantastic.,2,Yes,3,Negative
249,Home & Kitchen,Microwave Oven,U4297,Terrible,"The Microwave Oven is amazing, I love it!",1,Yes,41,Negative
250,Fashion,T-shirt,U2046,Not good,"The T-shirt works okay, but could be better.",5,No,47,Positive
251,Books,Self-help Book,U8422,Loved it,"Not worth the money, poor quality Self-help Book.",4,Yes,44,Positive
252,Fashion,T-shirt,U4071,Loved it,"The T-shirt is amazing, I love it!",4,No,31,Positive
253,Books,Biography,U3870,Loved it,"The Biography is amazing, I love it!",3,Yes,14,Neutral
254,Books,Self-help Book,U6283,Terrible,The Self-help Book stopped working after a week.,4,Yes,47,Positive
255,Books,Children's Story,U7434,Not good,Decent Children's Story for the price point.,2,Yes,12,Negative
256,Electronics,Bluetooth Speaker,U8017,Loved it,Exceeded my expectations! Great Bluetooth Speaker.,4,Yes,28,Positive
257,Electronics,Smartwatch,U4058,Terrible,I use this Smartwatch every day and it’s fantastic.,4,Yes,19,Positive
258,Home & Kitchen,Air Fryer,U5647,Okay,The Air Fryer stopped working after a week.,5,No,36,Positive
259,Beauty,Hair Dryer,U8936,Terrible,Really disappointed with the Hair Dryer.,3,No,16,Neutral
260,Home & Kitchen,Microwave Oven,U4627,Great!,The Microwave Oven stopped working after a week.,3,Yes,15,Neutral
261,Fashion,Jacket,U7770,Great!,Decent Jacket for the price point.,1,No,1,Negative
262,Books,Cookbook,U9586,Loved it,Decent Cookbook for the price point.,3,No,43,Neutral
263,Books,Self-help Book,U7010,Great!,"The Self-help Book is amazing, I love it!",1,Yes,21,Negative
264,Books,Children's Story,U6089,Okay,The Children's Story stopped working after a week.,2,Yes,7,Negative
265,Beauty,Perfume,U9353,Terrible,Really disappointed with the Perfume.,3,No,36,Neutral
266,Home & Kitchen,Vacuum Cleaner,U6629,Okay,Decent Vacuum Cleaner for the price point.,3,No,25,Neutral
267,Electronics,Smartphone,U9693,Okay,"Not worth the money, poor quality Smartphone.",4,No,48,Positive
268,Beauty,Lipstick,U9608,Okay,"The Lipstick works okay, but could be better.",5,No,44,Positive
269,Beauty,Perfume,U8043,Terrible,Really disappointed with the Perfume.,1,Yes,7,Negative
270,Electronics,Laptop,U5624,Loved it,I use this Laptop every day and it’s fantastic.,1,Yes,11,Negative
271,Home & Kitchen,Vacuum Cleaner,U9278,Okay,Really disappointed with the Vacuum Cleaner.,5,Yes,41,Positive
